id130,title,rank,province,alt,modern,description,country,batlas,awmc,dare,darmc,hanson,orbis,PECS,pleiades,topostext,TTPlace,trismegistos,vici,wikidata,wikipedia:en,start,latlon,lon,lat
88,Berenice,5,Aegyptus,Berenike,Bender el-Kebir,An ancient port city on the west coast of the Red Sea in modern Egypt.,Egypt,80 in,149036,23388,31344,,50070,,785986,239355UBer,410,416,2474,819050,Berenice_Troglodytica,-330,"23.9103,35.4737",35.4737,23.9103
89,Berytus,5,Syria,Beirut,Beirut,"An ancient Phoenician city, known by various names in antiquity, in what is now Lebanon.",Lebanon,69 C2,140544,21113,10230,1331,50073,berytus,678060,339355UBer,492,431,2511,3820,Beirut,-323,"33.8985935,35.511241",35.511241,33.8985935
90,Borysthenes,5,,Olbia,,"An ancient place, cited: BAtlas 23 E2 Borysthenes/Olbia",Ukraine,3 E2,147518,22004,34599,,50621,olbia-1,226546,467319UOlb,,,11293,3493453,"Olbia,_Ukraine",-750,"46.691895,31.901597",31.901597,46.691895
91,Bracara Augusta,5,Hispania Tarraconensis,,Braga,"With settlement from the Neolithic onwards, Bracara Augusta was established as a civitas in 20 B.C.",Portugal,24 C3,141377,13695,,690,50082,,236377,416000UBra,,,15113,3331867,Braga,-27,"41.550875,-8.424973",-8.424973,41.550875
92,Brixia,5,Italia,,Brescia,An ancient settlement. Modern Brescia in Italy.,Italy,39 G2,138730,1463,15603,1048,,brixia,383603,455102UBri,1042,,1586,3645136,Brescia,-89,"45.539773,10.223135",10.223135,45.539773
93,Caere,5,Italia,,Cerveteri,Caere (also known as Cisra or Cerveteri) was a major Etruscan polis located ca. 50 km north-northwest of Rome in southern Etruria.,Italy,43 A1,157138,16708,28268,965,,caere,422859,420121UAgy,,,10931,2914373,Cerveteri,-400,"42.0024869653,12.1077784689",12.1077784689,42.0024869653
94,Caesaraugusta,5,Hispania Tarraconensis,Col. Caesaraugusta,Zaragoza,"An ancient place, cited: BAtlas 25 E4 Col. Caesaraugusta",Spain,25 E4,150671,6536,30179,691,50093,caesar-augusta,246344,416000UCAu,,,3527,2932882,Zaragoza,-24,"41.6541855,-0.8772685",-0.8772685,41.6541855
95,Caesarea,5,Galatia et Cappadocia,"Antiochia, Col. Caesarea",Yalvaç,An ancient city in Pisidia.,Türkiye,62 F5,134673,21442,34879,412,50095,antioch-2,609307,383312UAnt,2351,204,2325,579468,Antioch_of_Pisidia,-281,"38.3053740186,31.1898699486",31.1898699486,38.3053740186
96,Capua,5,Italia,,S. Maria di Capua Vetere,An important ancient city of Campania with Villanovan and Etruscan origins.,Italy,44 F3,150822,21762,28297,758,50104,capua,432754,411143PCap,1454,,1859,58894,Capua,-550,"41.0860925,14.250207",14.250207,41.0860925
97,Carthago Nova,5,Hispania Tarraconensis,Col. Urbs Iulia,Cartagena,"Carthago Nova/Col. Urbs Iulia (modern Cartagena, Spain) was originally an indigenous settlement that was subsequently refounded first as a Punic site Qart Hadasht (""New City"") in 228 BC and later as a Roman city.",Spain,27 E4,166849,16826,30118,693,50108,carthago-nova,265849,376-09PCar,,,3710,2727884,"Cartagena,_Spain",-225,"37.602787,-0.9879535",-0.9879535,37.602787
98,Casinum,5,Italia,,Cassino,A Volscian hilltop settlement that became a Roman colony in 312 B.C.,Italy,44 E3,164098,16769,28308,760,50109,casinum,432764,415138UCas,1327,,1782,116592,Casinum,-400,"41.492907,13.830583",13.830583,41.492907
99,Chalcis,5,Achaia,,Chalkis,"An ancient place, cited: BAtlas 55 F4 Chalcis",Greece,55 F4,163364,21971,21973,21,50555,chalkis,540703,385236PCha,,,,200133,Chalcis,-800,"38.457139,23.621937",23.621937,38.457139
100,Chersonesos,5,,,Sevastopol,"Chersonesos was an ancient Greek colony founded in the southwestern part of the Crimean Peninsula, ancient Taurica. Settlers from Heraclea Pontica established the site in the sixth century B.C.",Russia,23 G4,163815,16458,33904,,50627,chersonesos-2,226564,446335UChe,,,10948,638445,Chersonesus,-750,"44.611092882,33.4922580049",33.4922580049,44.611092882
101,Clunia,5,Hispania Tarraconensis,Col. Clunia (Sulpicia),Peñalba de Castro,Col. Clunia (Sulpicia) was a Roman city of Hispania Tarraconensis. The site was besieged by Cn. Pompeius Magnus during the war against Sertorius.,Spain,25 B4,142680,22471,30180,696,,clunia,246345,418000UCol,,19884,3587,2724682,,14,"41.782272,-3.3680505",-3.3680505,41.782272
102,Clusium,5,Italia,,Chiusi,"Clusium, the Etruscan Clevsin (modern Chiusi), was a major city of Etruria. Lars Porsena was a sixth century B.C. king of Clusium.",Italy,42 B2,163439,13512,28352,969,50122,clusium,413096,430119UClu,1100,,1623,9301110,Tomb_of_Lars_Porsena,-500,"43.016367,11.9487025",11.9487025,43.016367
103,Cydonea,5,Creta et Cyrenaica,Kydonia,Khania,"An ancient settlement on Crete inhabited since the Neolithic period, Kydonia has been a major center of Minoan, Greek, and Byzantine civilization.",Greece,60 B1,157751,23375,,480,,Kydonia,589886,355240PKyd,2059,,2220,1481525,Kydonia,-524,"35.515775,24.01869",24.01869,35.515775
104,Cyrene,5,Creta et Cyrenaica,,Aïn Shahat,"An ancient Greek city founded in eastern Libya ca. 630 B.C., Cyrene later became part of the Roman empire (ca. 74 B.C.). The site was added to the UNESCO World Heritage List in 1982.",Libya,38 C1,157309,21126,22125,481,50138,cyrene,373778,328219PCyr,347,,2454,44112,"Cyrene,_Libya",-631,"32.820348545,21.8565546881",21.8565546881,32.820348545
105,Cyzicus,5,Asia,,Belkis,An ancient city of Mysia in Anatolia.,Türkiye,52 B4,163435,21425,19921,273,50612,,511218,404279UCyz,2195,1208,10972,615449,Cyzicus,-700,"40.3855645,27.883191",27.883191,40.3855645
106,Damascus,5,Syria,,Damascus,"The ancient city of Damascus, located in modern Syria, with some 125 monuments dating back to the Roman period. Inscribed as a UNESCO World Heritage Site in 1979.",Syria,69 D2,142901,21087,22139,1334,50140,damascus,678106,335363UDam,485,533,2506,3766,Damascus,-305,"33.511612,36.309102",36.309102,33.511612
107,Delphi,5,Achaia,,Delphi,"The ancient pan-Hellenic sanctuary of Delphi in Greece, seat of the oracle of Apollo.",Greece,55 D4,135243,21949,,29,50143,delphi,540726,385225SDel,,543,66456,75459,Delphi,-800,"38.482289,22.501169",22.501169,38.482289
108,Demetrias,5,Achaia,Demetrias (Magnesian),Aivaliotika,"An ancient place, cited: BAtlas 55 D2 Demetrias",Greece,55 D2,149762,21977,10072,30,50717,demetrias-1,540730,393229UDem,,2825,11001,1150349,,-290,"39.343481,22.924029",22.924029,39.343481
109,Diospolis,5,Iudaea,"Lydda, Georgioupolis",Lod,"An ancient place, cited: BAtlas 70 F2 Lydda/Diospolis/Georgioupolis",Israel,70 F2,159287,21685,16707,1360,50243,,687953,319348ULyd,443,,2484,207540,Lod,-323,"31.9582535,34.892378",34.892378,31.9582535
110,Dyrrachium,5,Macedonia,"Dyrr(h)achium, Epidamnos",Durrës,A city founded in 627 B.C. by colonists from Corinth and Kerkyra.,Albania,49 B2,165216,16902,34631,1153,50159,epidamnos,481818,413194PEpi,1841,606,2105,83285,Durrës,-627,"41.3163425,19.447355",19.447355,41.3163425
111,Eburacum,5,Britannia,,York,"The site of a Roman legionary fortress, municipium, and colonia at modern-day York, England.",United Kingdom,9 F7,163443,20679,30234,393,50160,eboracum,89175,540000UEbu,,13682,1482,958954,Eboracum,100,"53.957672,-1.082304",-1.082304,53.957672
112,Ecbatana,5,,"Hagmatana, Achmeta, Epiphaneia, Ahmadan",Hamadan,"The capital of Astyages (Istuvegü), captured by Cyrus the Great in 549 BC. The site served as a summer residence for both Persian and Parthian kings.",Iran,92 D2,148657,22305,31519,,,,903021,348485UEcb,2516,,,696193,Ecbatana,-1200,"34.799294,48.512209",48.512209,34.799294
113,Elateia,5,Achaia,,Lefta,"Elateia was an ancient Greek city of Phocis, and numbered as the most important place in that region after Delphi.",Greece,55 D3,162022,22815,12022,33,,elateia,540755,386228PEla,1874,,3349,1235347,Elateia,-600,"38.629841,22.7658245",22.7658245,38.629841
114,Eleutheropolis,5,Iudaea,Beth Govrin,Beit Jibrin,Govrin/Eleutheropolis was a Roman city founded on the site of Betaris.,Israel,70 F2,148830,21671,16362,1357,50074,,687854,316348UEle,436,,2477,556637,Bayt_Jibrin,-323,"31.614254,34.8910485",34.8910485,31.614254
115,Elis,5,Achaia,,Ilida,Elis was an ancient Greek city of the northeast Peloponnese that served as the capital of the district of the same name.,Greece,58 A2,159822,21944,33923,35,,elis,570220,378214PEli,1903,,11024,217667,Elis,-800,"37.891781,21.375091",21.375091,37.891781
116,Eretria,5,Achaia,,Eretria,Eretria was an ancient polis located in Euboea.,Greece,59 C1,156109,21973,31265,37,,eretria,579925,384238PEre,,659,11028,320367,Eretria,-825,"38.399266,23.7918065",23.7918065,38.399266
117,Europos,5,,D(o)ura,Qal'at es-Salihiye,An ancient settlement on the Euphrates river in modern Syria.,Syria,91 B3,159057,21510,22279,,50155,,893990,347407UDur,,,18095,464266,Dura-Europos,-330,"34.747886619,40.7298703605",40.7298703605,34.747886619
118,Gabii,5,Italia,,Castiglione,"An ancient Latin city located on the line of the Republican Via Praenestina connecting Rome to Praeneste. Gabii is allied to Rome from an early date and flourished during the archaic period, declining by the time of Augustus.",Italy,43 C2,148754,21323,28470,775,,gabii,422932,419127UGab,1311,32471,1773,614510,,-600,"41.887373,12.719727",12.719727,41.887373
119,Gades,5,Hispania Baetica,"Gadeira, Col. Augusta Gaditana",Cádiz,"Gadeira/Gades/Col. Augusta Gaditana (modern Cadiz, Spain) is an ancient city of Spain and one of the oldest continuously occupied cities of Europe. Its origins may be Phoenician (Gadir (Phoenician: גדר)).",Spain,26 D5,152839,22428,30272,337,50179,gadir,256177,365-063PGad,,,3666,15682,,-400,"36.5292776667,-6.29312066667",-6.29312066667,36.5292776667
120,Gaza,5,Iudaea,,Gaza,An important ancient settlement on the coast of Palestine.,Palestine,70 E2,154907,21672,16446,1359,50181,gaza,687902,315344UGaz,,697,61579,3584217,Church_of_Saint_Porphyrius,-58,"31.5202095,34.451719",34.451719,31.5202095
121,Germe,5,Asia,(Hiera) Germe,,"An ancient place, cited: BAtlas 56 F3 (Hiera) Germe",Türkiye,56 F3,139304,29046,22757,,50184,,550577,,,,34756,65043934,,-30,"39.36872,27.690683",27.690683,39.36872
122,Hecatompylos,5,,"Hecatompylos?, Komish, [(Shahr-i) Qumis]",,Hecatompylos? was an ancient city in Iran that served as the capital of the Parthian Arsacid dynasty by 200 BC. Alexander passed through in 330 BC and the city eventually became part of the Seleucid empire and later a capital of the Parthian empire.,Iran,96 C4,166831,22308,32221,,,,942276,,2724,,2434,,Hecatompylos,-550,"35.9610935,54.0382895",54.0382895,35.9610935
123,Heliopolis,5,Syria,Col. Iulia Augusta Felix,Baalbek,"An ancient settlement in Lebanon's Beqaa Valley, named as a UNESCO World Heritage Site because ""with its colossal structures, [it] is one of the finest examples of Imperial Roman architecture at its apogee.""",Lebanon,69 D1,154553,21118,13575,1337,50190,heliopolis,678179,340362UHel,494,,2512,178835,Baalbek,-100,"34.0063794317,36.2038547331",36.2038547331,34.0063794317
124,Heraclea,5,Bithynia et Pontus,,Karadeniz Ereğli,An ancient settlement on the Black Sea coast of Asia Minor at modern Karadeniz Ereğli in Turkey. It is often referred to as Heraclea Pontica (or Heraclea in Pontus) to distinguish it from other cities with the same name.,Türkiye,86 B2,137565,21254,34648,,50430,herakleia-1,844944,413314PHer,2096,12462,29937,302511,Heraclea_Pontica,-550,"41.2832553333,31.4174136667",31.4174136667,41.2832553333
125,Hierapytna,5,Creta et Cyrenaica,,Ierapetra,"An ancient place, cited: BAtlas 60 E2 Hierapytna",Greece,60 E2,150869,23386,33906,484,,hierapytna,589807,350257PHie,2076,,2226,938412,Ierapetra,-500,"35.0095285,25.7387505",25.7387505,35.0095285
126,Hippo Regius,5,Numidia,,Annaba,Hippo Regius (modern Annaba in Algeria) was a colony established by Phoenicians from Tyre as early as the twelfth century BC.,Algeria,31 H3,137683,21626,22766,1246,50198,hippo-regius,305090,369077UHip,37,,2468,858024,Hippo_Regius,-100,"36.882478,7.751272",7.751272,36.882478
127,Hispalis,5,Hispania Baetica,Col. Romula,Seville,"Hispalis/Col. Romula (modern Seville, Spain).",Spain,26 E4,151634,16679,30310,339,50199,,256210,374000UHis,,,3671,3896917,,-45,"37.382668,-5.996293",-5.996293,37.382668
128,Iulia Aug. Felix Germa,5,Galatia et Cappadocia,(Col. Iulia Aug. Felix) Germa,Babadat,"An ancient place, cited: BAtlas 62 G2 (Col. Iulia Aug. Felix) Germa",Türkiye,62 G2,163433,21531,13083,416,,,609351,395316UGer,,16332,29820,1513790,,-25,"39.511421,31.616172",31.616172,39.511421
129,Iulia Nobilis Cnosos,5,Creta et Cyrenaica,"Knosos, Col. Iulia Nobilis Cnosos",Knossos,"A major ancient settlement of Crete located some 5 km southeast of Heraklion, Knossos was occupied from the Neolithic period to the time of the Roman empire.",Greece,60 D2,139261,22252,34062,479,,knossos,589872,353252PKno,2071,,2943,173527,Knossos,-500,"35.297847,25.163106",25.163106,35.297847
130,Lambaesis,5,Numidia,,Tazzoult,A Roman settlement established in the second century A.D. as the legionary base of Legio III Augusta,Algeria,34 E2,156940,21644,,1247,50222,lambaesis,334570,,,,3194,1309744,Lambaesis,129,"35.4899361155,6.25480952551",6.25480952551,35.4899361155
131,Lanuvium,5,Italia,,Lanuvio,"Lanuvium was an important city of Latium located south of the Alban Hills. After opposing Rome at the battle of Aricia (504 B.C.) and Lake Regillus (496 B.C.), Lanuvium was captured by the Romans in 338 B.C.",Italy,43 C3,135091,21331,28506,779,,lanuvium,422956,417127ULan,,,17992,2832670,Lanuvium,-400,"41.674703,12.697593",12.697593,41.674703
132,Laodicea ad Lycum,5,Asia,"Diospolis, Roas",Gonçalı,"""Laodicea on the Lycus"": an ancient settlement located near the modern village of Eskihisar (Eski Hissar) in Denizli Province, Turkey.",Türkiye,65 B2,133057,21162,23405,290,50431,laodicea-ad-lycum,638955,378291PLao,2354,5418,2327,849709,Laodicea_on_the_Lycus,-261,"37.8359393239,29.1073887789",29.1073887789,37.8359393239
133,Larissa,5,Achaia,,Larissa,"The ancient capital of the Thessalian Pelasgiotis, modern Larisa in Greece.",Greece,55 C1,149770,21979,34052,48,50227,larissa,540905,396224PLar,1865,,2116,178405,Larissa,-600,"39.634851,22.42097025",22.42097025,39.634851
134,Luca,5,Italia,,Lucca,Luca (the modern Lucca) was originally an Etruscan settlement that became a Roman colony ca. 180 B.C.,Italy,41 C2,159779,1519,28523,982,50237,luca,403234,438105ULuc,1080,,1611,13373,Lucca,-180,"43.84184,10.50703",10.50703,43.84184
135,Lucus Augusti,5,Hispania Tarraconensis,,Lugo,"Lucus Augusti (Lugo, Spain). The Roman walls of the city were listed as a UNESCO World Heritage Site in 2000.",Spain,24 D1,154725,13697,17583,714,,lucus-augusti,236525,430000ULuc,,,3553,11125,Roman_Walls_of_Lugo,-27,"43.0106145,-7.5570105",-7.5570105,43.0106145
136,Luna,5,Italia,,Luni,Luna (the modern Luni) is an ancient settlement of Liguria. It was re-founded by the Romans as a colonial settlement in 177 BC.,Italy,41 C1,135548,5854,28525,984,50241,luna,403235,441100ULun,1078,,17447,3267409,,-177,"44.064253,10.016856",10.016856,44.064253
137,Lyctus,5,Creta et Cyrenaica,Lyktos,Xydas,"An ancient settlement on Crete, located just east of modern Xydas/Xidas, with which it is sometimes conflated. The city is mentioned in Homer and seems to have flourished in Hellenistic and Roman times, at least.",Greece,60 D2,137134,23367,14651,485,,lyttos,589918,352254PLyk,2073,,23238,1001533,Lyctus,-500,"35.2081,25.3682",25.3682,35.2081
138,Mantinea,5,Achaia,"Mantineia, Antigoneia",Mantineia,Mantineia/Antigoneia was an ancient settlement in Greece most noted for being the site of two major battles.,Greece,58 C2,164485,21917,34074,55,,,570459,376224UMan,,,11159,1160195,Mantineia,-500,"37.6173785,22.3925775",22.3925775,37.6173785
139,Marcianopolis,5,Moesia Inferior,,Devnya,"An ancient place, cited: BAtlas 22 E5 Marcianopolis",Bulgaria,22 E5,152624,18989,34689,1208,50247,,216878,432276UMar,1988,,2186,431280,Marcianopolis,98,"43.22504,27.585033",27.585033,43.22504
140,Massalia,5,Gallia Narbonensis,Massilia,Marseille,"Massalia/Massilia (modern Marseille, France) was founded by Phocaean Greeks ca. 600 B.C. as a trading outpost.",France,15 E3,136660,176,16735,649,50250,massalia,148127,433054PMas,840,1318,2749,2566850,,-600,"43.296854,5.382499",5.382499,43.296854
141,Megalopolis,5,Achaia,,Sinánu,"An ancient place, cited: BAtlas 58 C3 Megalopolis",Greece,58 C3,150134,21914,23677,56,,megalopolis,570467,374221PMeg,1900,,2132,823721,"Megalopolis,_Greece",-370,"37.414271211,22.1263961621",22.1263961621,37.414271211
142,Megara,5,Achaia,,Megara,"Megara was an important ancient city of Greece, located in the northern part of the the Isthmus of Corinth opposite the island of Salamis.",Greece,58 E2,142844,21951,14793,57,,megara,570468,380233PMeg,1885,,2121,184864,Megaris,-900,"37.985078,23.340163",23.340163,37.985078
143,Melitene,5,Galatia et Cappadocia,,Malatya,Melitene was an ancient city on the Tohma River. It was the station of Legio XII Fulminata from AD 70 onwards.,Türkiye,64 G4,139477,21239,17618,421,50253,melitene,629040,384384RMel,2532,16473,20437,705132,Melid,71,"38.382217,38.361152",38.361152,38.382217
144,Memphis,5,Aegyptus,,Kom Rabia,A city and capital of Ancient Egypt that remained an important center for most of Egyptian history.,Egypt,75 E1,134404,21137,23698,139,50254,memphis,736963,298313PMem,387,1344,21493,5715,"Memphis,_Egypt",-323,"29.849491,31.255061",31.255061,29.849491
145,Messene,5,Achaia,,Mavromati,Capital of Messenia,Greece,58 B3,133560,21909,14806,59,,messene-1,570479,372219PMes,1919,,11203,1022117,Messene,-369,"37.175491,21.920439",21.920439,37.175491
146,Miletus,5,Asia,,Balat,A major ancient city in Caria.,Türkiye,61 E2,148737,21166,34087,298,50791,miletos,599799,375273PMil,2384,1375,2346,169460,Miletus,-479,"37.5229047333,27.2783168333",27.2783168333,37.5229047333
147,Minturnae,5,Italia,,Minturno,"Originally an Ausonian town that fought against Rome in 314 B.C., Minturnae became a colony in 296 B.C. The site is located on the Garigliano river (ancient Liris) and served an important economic function. The Via Appia passes through the city.",Italy,44 E3,143640,16714,28624,782,50255,minturnae,432940,412138UMin,1438,,11689,128105,,-400,"41.242193,13.768467",13.768467,41.242193
